# x_m;y_m
-311.5000;-187.0000
-311.5000;-186.5000
-311.5000;-186.0000
-311.5000;-185.5000
-311.5000;-185.0000
-311.5000;-184.5000
-311.5000;-184.0000
-311.5000;-183.5000
-311.5000;-183.0000
-311.5000;-182.5000
-311.5000;-182.0000
-311.5000;-181.5000
-311.5000;-181.0000
-311.5000;-180.5000
-311.5000;-180.0000
-311.5000;-179.5000
-311.0000;-190.5000
-311.0000;-190.0000
-311.0000;-189.5000
-311.0000;-189.0000
-311.0000;-188.5000
-311.0000;-188.0000
-311.0000;-187.5000
-311.0000;-187.0000
-311.0000;-186.5000
-311.0000;-186.0000
-311.0000;-185.5000
-311.0000;-185.0000
-311.0000;-184.5000
-311.0000;-184.0000
-311.0000;-183.5000
-311.0000;-183.0000
-311.0000;-182.5000
-311.0000;-182.0000
-311.0000;-181.5000
-311.0000;-181.0000
-311.0000;-180.5000
-311.0000;-180.0000
-311.0000;-179.5000
-311.0000;-179.0000
-311.0000;-178.5000
-311.0000;-178.0000
-311.0000;-177.5000
-311.0000;-177.0000
-311.0000;-176.5000
-310.5000;-192.5000
-310.5000;-192.0000
-310.5000;-191.5000
-310.5000;-191.0000
-310.5000;-190.5000
-310.5000;-190.0000
-310.5000;-189.5000
-310.5000;-189.0000
-310.5000;-188.5000
-310.5000;-188.0000
-310.5000;-187.5000
-310.5000;-187.0000
-310.5000;-186.5000
-310.5000;-186.0000
-310.5000;-185.5000
-310.5000;-185.0000
-310.5000;-184.5000
-310.5000;-184.0000
-310.5000;-183.5000
-310.5000;-183.0000
-310.5000;-182.5000
-310.5000;-182.0000
-310.5000;-181.5000
-310.5000;-181.0000
-310.5000;-180.5000
-310.5000;-180.0000
-310.5000;-179.5000
-310.5000;-179.0000
-310.5000;-178.5000
-310.5000;-178.0000
-310.5000;-177.5000
-310.5000;-177.0000
-310.5000;-176.5000
-310.5000;-176.0000
-310.5000;-175.5000
-310.5000;-175.0000
-310.5000;-174.5000
-310.5000;-174.0000
-310.0000;-194.0000
-310.0000;-193.5000
-310.0000;-193.0000
-310.0000;-192.5000
-310.0000;-192.0000
-310.0000;-191.5000
-310.0000;-191.0000
-310.0000;-190.5000
-310.0000;-190.0000
-310.0000;-189.5000
-310.0000;-189.0000
-310.0000;-188.5000
-310.0000;-188.0000
-310.0000;-187.5000
-310.0000;-187.0000
-310.0000;-186.5000
-310.0000;-186.0000
-310.0000;-185.5000
-310.0000;-185.0000
-310.0000;-184.5000
-310.0000;-184.0000
-310.0000;-183.5000
-310.0000;-183.0000
-310.0000;-182.5000
-310.0000;-182.0000
-310.0000;-181.5000
-310.0000;-181.0000
-310.0000;-180.5000
-310.0000;-180.0000
-310.0000;-179.5000
-310.0000;-179.0000
-310.0000;-178.5000
-310.0000;-178.0000
-310.0000;-177.5000
-310.0000;-177.0000
-310.0000;-176.5000
-310.0000;-176.0000
-310.0000;-175.5000
-310.0000;-175.0000
-310.0000;-174.5000
-310.0000;-174.0000
-310.0000;-173.5000
-310.0000;-173.0000
-310.0000;-172.5000
-309.5000;-195.5000
-309.5000;-195.0000
-309.5000;-194.5000
-309.5000;-194.0000
-309.5000;-193.5000
-309.5000;-193.0000
-309.5000;-192.5000
-309.5000;-192.0000
-309.5000;-191.5000
-309.5000;-191.0000
-309.5000;-190.5000
-309.5000;-190.0000
-309.5000;-189.5000
-309.5000;-189.0000
-309.5000;-188.5000
-309.5000;-188.0000
-309.5000;-187.5000
-309.5000;-187.0000
-309.5000;-186.5000
-309.5000;-186.0000
-309.5000;-185.5000
-309.5000;-185.0000
-309.5000;-184.5000
-309.5000;-184.0000
-309.5000;-183.5000
-309.5000;-183.0000
-309.5000;-182.5000
-309.5000;-182.0000
-309.5000;-181.5000
-309.5000;-181.0000
-309.5000;-180.5000
-309.5000;-180.0000
-309.5000;-179.5000
-309.5000;-179.0000
-309.5000;-178.5000
-309.5000;-178.0000
-309.5000;-177.5000
-309.5000;-177.0000
-309.5000;-176.5000
-309.5000;-176.0000
-309.5000;-175.5000
-309.5000;-175.0000
-309.5000;-174.5000
-309.5000;-174.0000
-309.5000;-173.5000
-309.5000;-173.0000
-309.5000;-172.5000
-309.5000;-172.0000
-309.5000;-171.5000
-309.5000;-171.0000
-309.0000;-196.5000
-309.0000;-196.0000
-309.0000;-195.5000
-309.0000;-195.0000
-309.0000;-194.5000
-309.0000;-194.0000
-309.0000;-193.5000
-309.0000;-193.0000
-309.0000;-192.5000
-309.0000;-192.0000
-309.0000;-191.5000
-309.0000;-191.0000
-309.0000;-190.5000
-309.0000;-190.0000
-309.0000;-189.5000
-309.0000;-189.0000
-309.0000;-188.5000
-309.0000;-188.0000
-309.0000;-187.5000
-309.0000;-187.0000
-309.0000;-186.5000
-309.0000;-186.0000
-309.0000;-185.5000
-309.0000;-185.0000
-309.0000;-184.5000
-309.0000;-184.0000
-309.0000;-183.5000
-309.0000;-183.0000
-309.0000;-182.5000
-309.0000;-182.0000
-309.0000;-181.5000
-309.0000;-181.0000
-309.0000;-180.5000
-309.0000;-180.0000
-309.0000;-179.5000
-309.0000;-179.0000
-309.0000;-178.5000
-309.0000;-178.0000
-309.0000;-177.5000
-309.0000;-177.0000
-309.0000;-176.5000
-309.0000;-176.0000
-309.0000;-175.5000
-309.0000;-175.0000
-309.0000;-174.5000
-309.0000;-174.0000
-309.0000;-173.5000
-309.0000;-173.0000
-309.0000;-172.5000
-309.0000;-172.0000
-309.0000;-171.5000
-309.0000;-171.0000
-309.0000;-170.5000
-309.0000;-170.0000
-308.5000;-198.0000
-308.5000;-197.5000
-308.5000;-197.0000
-308.5000;-196.5000
-308.5000;-196.0000
-308.5000;-195.5000
-308.5000;-195.0000
-308.5000;-194.5000
-308.5000;-194.0000
-308.5000;-193.5000
-308.5000;-193.0000
-308.5000;-192.5000
-308.5000;-192.0000
-308.5000;-191.5000
-308.5000;-191.0000
-308.5000;-190.5000
-308.5000;-190.0000
-308.5000;-189.5000
-308.5000;-189.0000
-308.5000;-188.5000
-308.5000;-188.0000
-308.5000;-187.5000
-308.5000;-187.0000
-308.5000;-186.5000
-308.5000;-186.0000
-308.5000;-185.5000
-308.5000;-185.0000
-308.5000;-184.5000
-308.5000;-184.0000
-308.5000;-183.5000
-308.5000;-183.0000
-308.5000;-182.5000
-308.5000;-182.0000
-308.5000;-181.5000
-308.5000;-181.0000
-308.5000;-180.5000
-308.5000;-180.0000
-308.5000;-179.5000
-308.5000;-179.0000
-308.5000;-178.5000
-308.5000;-178.0000
-308.5000;-177.5000
-308.5000;-177.0000
-308.5000;-176.5000
-308.5000;-176.0000
-308.5000;-175.5000
-308.5000;-175.0000
-308.5000;-174.5000
-308.5000;-174.0000
-308.5000;-173.5000
-308.5000;-173.0000
-308.5000;-172.5000
-308.5000;-172.0000
-308.5000;-171.5000
-308.5000;-171.0000
-308.5000;-170.5000
-308.5000;-170.0000
-308.5000;-169.5000
-308.5000;-169.0000
-308.5000;-168.5000
-308.0000;-199.0000
-308.0000;-198.5000
-308.0000;-198.0000
-308.0000;-197.5000
-308.0000;-197.0000
-308.0000;-196.5000
-308.0000;-196.0000
-308.0000;-195.5000
-308.0000;-195.0000
-308.0000;-194.5000
-308.0000;-194.0000
-308.0000;-193.5000
-308.0000;-193.0000
-308.0000;-192.5000
-308.0000;-192.0000
-308.0000;-191.5000
-308.0000;-191.0000
-308.0000;-190.5000
-308.0000;-190.0000
-308.0000;-189.5000
-308.0000;-189.0000
-308.0000;-188.5000
-308.0000;-188.0000
-308.0000;-187.5000
-308.0000;-187.0000
-308.0000;-186.5000
-308.0000;-186.0000
-308.0000;-185.5000
-308.0000;-185.0000
-308.0000;-184.5000
-308.0000;-184.0000
-308.0000;-183.5000
-308.0000;-183.0000
-308.0000;-182.5000
-308.0000;-182.0000
-308.0000;-181.5000
-308.0000;-181.0000
-308.0000;-180.5000
-308.0000;-180.0000
-308.0000;-179.5000
-308.0000;-179.0000
-308.0000;-178.5000
-308.0000;-178.0000
-308.0000;-177.5000
-308.0000;-177.0000
-308.0000;-176.5000
-308.0000;-176.0000
-308.0000;-175.5000
-308.0000;-175.0000
-308.0000;-174.5000
-308.0000;-174.0000
-308.0000;-173.5000
-308.0000;-173.0000
-308.0000;-172.5000
-308.0000;-172.0000
-308.0000;-171.5000
-308.0000;-171.0000
-308.0000;-170.5000
-308.0000;-170.0000
-308.0000;-169.5000
-308.0000;-169.0000
-308.0000;-168.5000
-308.0000;-168.0000
-308.0000;-167.5000
-307.5000;-199.5000
-307.5000;-199.0000
-307.5000;-198.5000
-307.5000;-198.0000
-307.5000;-197.5000
-307.5000;-197.0000
-307.5000;-196.5000
-307.5000;-196.0000
-307.5000;-195.5000
-307.5000;-195.0000
-307.5000;-194.5000
-307.5000;-194.0000
-307.5000;-193.5000
-307.5000;-193.0000
-307.5000;-192.5000
-307.5000;-192.0000
-307.5000;-191.5000
-307.5000;-191.0000
-307.5000;-190.5000
-307.5000;-190.0000
-307.5000;-189.5000
-307.5000;-189.0000
-307.5000;-188.5000
-307.5000;-188.0000
-307.5000;-187.5000
-307.5000;-187.0000
-307.5000;-186.5000
-307.5000;-186.0000
-307.5000;-185.5000
-307.5000;-185.0000
-307.5000;-184.5000
-307.5000;-184.0000
-307.5000;-183.5000
-307.5000;-183.0000
-307.5000;-182.5000
-307.5000;-182.0000
-307.5000;-181.5000
-307.5000;-181.0000
-307.5000;-180.5000
-307.5000;-180.0000
-307.5000;-179.5000
-307.5000;-179.0000
-307.5000;-178.5000
-307.5000;-178.0000
-307.5000;-177.5000
-307.5000;-177.0000
-307.5000;-176.5000
-307.5000;-176.0000
-307.5000;-175.5000
-307.5000;-175.0000
-307.5000;-174.5000
-307.5000;-174.0000
-307.5000;-173.5000
-307.5000;-173.0000
-307.5000;-172.5000
-307.5000;-172.0000
-307.5000;-171.5000
-307.5000;-171.0000
-307.5000;-170.5000
-307.5000;-170.0000
-307.5000;-169.5000
-307.5000;-169.0000
-307.5000;-168.5000
-307.5000;-168.0000
-307.5000;-167.5000
-307.5000;-167.0000
-307.0000;-200.5000
-307.0000;-200.0000
-307.0000;-199.5000
-307.0000;-199.0000
-307.0000;-198.5000
-307.0000;-198.0000
-307.0000;-197.5000
-307.0000;-197.0000
-307.0000;-196.5000
-307.0000;-196.0000
-307.0000;-195.5000
-307.0000;-195.0000
-307.0000;-194.5000
-307.0000;-194.0000
-307.0000;-193.5000
-307.0000;-193.0000
-307.0000;-192.5000
-307.0000;-192.0000
-307.0000;-191.5000
-307.0000;-191.0000
-307.0000;-190.5000
-307.0000;-190.0000
-307.0000;-189.5000
-307.0000;-189.0000
-307.0000;-188.5000
-307.0000;-188.0000
-307.0000;-187.5000
-307.0000;-187.0000
-307.0000;-186.5000
-307.0000;-186.0000
-307.0000;-185.5000
-307.0000;-185.0000
-307.0000;-184.5000
-307.0000;-184.0000
-307.0000;-183.5000
-307.0000;-183.0000
-307.0000;-182.5000
-307.0000;-182.0000
-307.0000;-181.5000
-307.0000;-181.0000
-307.0000;-180.5000
-307.0000;-180.0000
-307.0000;-179.5000
-307.0000;-179.0000
-307.0000;-178.5000
-307.0000;-178.0000
-307.0000;-177.5000
-307.0000;-177.0000
-307.0000;-176.5000
-307.0000;-176.0000
-307.0000;-175.5000
-307.0000;-175.0000
-307.0000;-174.5000
-307.0000;-174.0000
-307.0000;-173.5000
-307.0000;-173.0000
-307.0000;-172.5000
-307.0000;-172.0000
-307.0000;-171.5000
-307.0000;-171.0000
-307.0000;-170.5000
-307.0000;-170.0000
-307.0000;-169.5000
-307.0000;-169.0000
-307.0000;-168.5000
-307.0000;-168.0000
-307.0000;-167.5000
-307.0000;-167.0000
-307.0000;-166.5000
-307.0000;-166.0000
-306.5000;-201.5000
-306.5000;-201.0000
-306.5000;-200.5000
-306.5000;-200.0000
-306.5000;-199.5000
-306.5000;-199.0000
-306.5000;-198.5000
-306.5000;-198.0000
-306.5000;-197.5000
-306.5000;-197.0000
-306.5000;-196.5000
-306.5000;-196.0000
-306.5000;-195.5000
-306.5000;-195.0000
-306.5000;-194.5000
-306.5000;-194.0000
-306.5000;-193.5000
-306.5000;-193.0000
-306.5000;-192.5000
-306.5000;-192.0000
-306.5000;-191.5000
-306.5000;-191.0000
-306.5000;-190.5000
-306.5000;-190.0000
-306.5000;-189.5000
-306.5000;-189.0000
-306.5000;-188.5000
-306.5000;-188.0000
-306.5000;-187.5000
-306.5000;-187.0000
-306.5000;-186.5000
-306.5000;-186.0000
-306.5000;-185.5000
-306.5000;-185.0000
-306.5000;-184.5000
-306.5000;-184.0000
-306.5000;-183.5000
-306.5000;-183.0000
-306.5000;-182.5000
-306.5000;-182.0000
-306.5000;-181.5000
-306.5000;-181.0000
-306.5000;-180.5000
-306.5000;-180.0000
-306.5000;-179.5000
-306.5000;-179.0000
-306.5000;-178.5000
-306.5000;-178.0000
-306.5000;-177.5000
-306.5000;-177.0000
-306.5000;-176.5000
-306.5000;-176.0000
-306.5000;-175.5000
-306.5000;-175.0000
-306.5000;-174.5000
-306.5000;-174.0000
-306.5000;-173.5000
-306.5000;-173.0000
-306.5000;-172.5000
-306.5000;-172.0000
-306.5000;-171.5000
-306.5000;-171.0000
-306.5000;-170.5000
-306.5000;-170.0000
-306.5000;-169.5000
-306.5000;-169.0000
-306.5000;-168.5000
-306.5000;-168.0000
-306.5000;-167.5000
-306.5000;-167.0000
-306.5000;-166.5000
-306.5000;-166.0000
-306.5000;-165.5000
-306.5000;-165.0000
-306.0000;-202.0000
-306.0000;-201.5000
-306.0000;-201.0000
-306.0000;-200.5000
-306.0000;-200.0000
-306.0000;-199.5000
-306.0000;-199.0000
-306.0000;-198.5000
-306.0000;-198.0000
-306.0000;-197.5000
-306.0000;-197.0000
-306.0000;-196.5000
-306.0000;-196.0000
-306.0000;-195.5000
-306.0000;-195.0000
-306.0000;-194.5000
-306.0000;-194.0000
-306.0000;-193.5000
-306.0000;-193.0000
-306.0000;-192.5000
-306.0000;-192.0000
-306.0000;-191.5000
-306.0000;-191.0000
-306.0000;-190.5000
-306.0000;-190.0000
-306.0000;-189.5000
-306.0000;-189.0000
-306.0000;-188.5000
-306.0000;-188.0000
-306.0000;-187.5000
-306.0000;-187.0000
-306.0000;-186.5000
-306.0000;-186.0000
-306.0000;-185.5000
-306.0000;-185.0000
-306.0000;-184.5000
-306.0000;-184.0000
-306.0000;-183.5000
-306.0000;-183.0000
-306.0000;-182.5000
-306.0000;-182.0000
-306.0000;-181.5000
-306.0000;-181.0000
-306.0000;-180.5000
-306.0000;-180.0000
-306.0000;-179.5000
-306.0000;-179.0000
-306.0000;-178.5000
-306.0000;-178.0000
-306.0000;-177.5000
-306.0000;-177.0000
-306.0000;-176.5000
-306.0000;-176.0000
-306.0000;-175.5000
-306.0000;-175.0000
-306.0000;-174.5000
-306.0000;-174.0000
-306.0000;-173.5000
-306.0000;-173.0000
-306.0000;-172.5000
-306.0000;-172.0000
-306.0000;-171.5000
-306.0000;-171.0000
-306.0000;-170.5000
-306.0000;-170.0000
-306.0000;-169.5000
-306.0000;-169.0000
-306.0000;-168.5000
-306.0000;-168.0000
-306.0000;-167.5000
-306.0000;-167.0000
-306.0000;-166.5000
-306.0000;-166.0000
-306.0000;-165.5000
-306.0000;-165.0000
-306.0000;-164.5000
-305.5000;-202.5000
-305.5000;-202.0000
-305.5000;-201.5000
-305.5000;-201.0000
-305.5000;-200.5000
-305.5000;-200.0000
-305.5000;-199.5000
-305.5000;-199.0000
-305.5000;-198.5000
-305.5000;-198.0000
-305.5000;-197.5000
-305.5000;-197.0000
-305.5000;-196.5000
-305.5000;-196.0000
-305.5000;-195.5000
-305.5000;-195.0000
-305.5000;-194.5000
-305.5000;-194.0000
-305.5000;-193.5000
-305.5000;-193.0000
-305.5000;-192.5000
-305.5000;-192.0000
-305.5000;-191.5000
-305.5000;-191.0000
-305.5000;-190.5000
-305.5000;-190.0000
-305.5000;-189.5000
-305.5000;-189.0000
-305.5000;-188.5000
-305.5000;-188.0000
-305.5000;-187.5000
-305.5000;-187.0000
-305.5000;-186.5000
-305.5000;-186.0000
-305.5000;-185.5000
-305.5000;-185.0000
-305.5000;-184.5000
-305.5000;-184.0000
-305.5000;-183.5000
-305.5000;-183.0000
-305.5000;-182.5000
-305.5000;-182.0000
-305.5000;-181.5000
-305.5000;-181.0000
-305.5000;-180.5000
-305.5000;-180.0000
-305.5000;-179.5000
-305.5000;-179.0000
-305.5000;-178.5000
-305.5000;-178.0000
-305.5000;-177.5000
-305.5000;-177.0000
-305.5000;-176.5000
-305.5000;-176.0000
-305.5000;-175.5000
-305.5000;-175.0000
-305.5000;-174.5000
-305.5000;-174.0000
-305.5000;-173.5000
-305.5000;-173.0000
-305.5000;-172.5000
-305.5000;-172.0000
-305.5000;-171.5000
-305.5000;-171.0000
-305.5000;-170.5000
-305.5000;-170.0000
-305.5000;-169.5000
-305.5000;-169.0000
-305.5000;-168.5000
-305.5000;-168.0000
-305.5000;-167.5000
-305.5000;-167.0000
-305.5000;-166.5000
-305.5000;-166.0000
-305.5000;-165.5000
-305.5000;-165.0000
-305.5000;-164.5000
-305.5000;-164.0000
-305.0000;-203.5000
-305.0000;-203.0000
-305.0000;-202.5000
-305.0000;-202.0000
-305.0000;-201.5000
-305.0000;-201.0000
-305.0000;-200.5000
-305.0000;-200.0000
