# v_mps, ax_max_machines_mps2, ax_max_tires_mps2, ax_min_tires_mps2, ay_max_tires_mps2
0.0, 6.0, 12.0, -12.0, 12.0
4.0, 6.0, 12.0, -12.0, 12.0
8.0, 5.9, 12.0, -12.0, 12.0
12.0, 5.8, 12.0, -12.0, 12.0
16.0, 5.8, 12.0, -12.0, 12.0
20.0, 5.6, 12.0, -12.0, 12.0
24.0, 5.6, 12.0, -12.0, 12.0
28.0, 5.4, 12.0, -12.0, 12.0
32.0, 5.2, 12.0, -12.0, 12.0
36.0, 5.2, 12.0, -12.0, 12.0
40.0, 4.7, 12.0, -12.0, 12.0
44.0, 4.2, 12.0, -12.0, 12.0
48.0, 3.5, 12.0, -12.0, 12.0
52.0, 2.9, 12.0, -12.0, 12.0
56.0, 2.2, 12.0, -12.0, 12.0
60.0, 0.0, 12.0, -12.0, 12.0
