# x_m,y_m,w_tr_right_m,w_tr_left_m
141.532,-133.432,5.730,5.753
142.330,-134.035,5.730,5.749
143.128,-134.637,5.729,5.748
143.926,-135.239,5.728,5.747
144.725,-135.842,5.731,5.747
145.523,-136.444,5.735,5.746
146.321,-137.046,5.737,5.745
147.120,-137.648,5.737,5.742
147.918,-138.251,5.736,5.738
148.716,-138.853,5.736,5.732
149.515,-139.455,5.734,5.721
150.313,-140.057,5.731,5.711
151.111,-140.659,5.727,5.705
151.910,-141.262,5.724,5.696
152.708,-141.864,5.719,5.685
153.506,-142.466,5.713,5.679
154.305,-143.068,5.707,5.676
155.103,-143.670,5.703,5.674
155.902,-144.272,5.702,5.673
156.700,-144.874,5.700,5.671
157.498,-145.476,5.699,5.674
158.297,-146.079,5.700,5.682
159.095,-146.681,5.704,5.691
159.894,-147.283,5.706,5.696
160.692,-147.885,5.705,5.702
161.490,-148.487,5.710,5.711
162.289,-149.089,5.715,5.722
163.087,-149.692,5.717,5.734
163.885,-150.294,5.723,5.747
164.684,-150.896,5.729,5.762
165.482,-151.498,5.732,5.773
166.280,-152.101,5.736,5.782
167.078,-152.703,5.741,5.791
167.876,-153.306,5.744,5.797
168.674,-153.908,5.744,5.798
169.472,-154.511,5.745,5.799
170.270,-155.114,5.745,5.799
171.068,-155.717,5.743,5.796
171.866,-156.319,5.738,5.793
172.664,-156.922,5.734,5.788
173.462,-157.525,5.735,5.777
174.260,-158.128,5.741,5.764
175.057,-158.731,5.744,5.754
175.855,-159.334,5.747,5.749
176.653,-159.937,5.750,5.749
177.451,-160.540,5.759,5.748
178.249,-161.143,5.766,5.746
179.046,-161.746,5.768,5.742
179.844,-162.348,5.772,5.742
180.642,-162.951,5.778,5.746
181.440,-163.554,5.784,5.749
182.238,-164.156,5.790,5.748
183.036,-164.759,5.795,5.746
183.835,-165.361,5.797,5.746
184.633,-165.963,5.799,5.747
185.431,-166.565,5.802,5.746
186.230,-167.167,5.808,5.741
187.029,-167.769,5.815,5.740
187.827,-168.371,5.812,5.744
188.626,-168.973,5.809,5.746
189.425,-169.574,5.811,5.745
190.224,-170.175,5.808,5.743
191.023,-170.777,5.801,5.742
191.822,-171.378,5.791,5.743
192.622,-171.979,5.784,5.744
193.421,-172.579,5.781,5.744
194.220,-173.180,5.777,5.746
195.020,-173.781,5.773,5.751
195.820,-174.381,5.771,5.754
196.619,-174.982,5.769,5.760
197.419,-175.582,5.770,5.764
198.219,-176.183,5.775,5.763
199.018,-176.783,5.776,5.761
199.818,-177.383,5.770,5.760
200.618,-177.984,5.765,5.764
201.418,-178.584,5.761,5.766
202.217,-179.184,5.755,5.763
203.017,-179.785,5.744,5.764
203.817,-180.385,5.727,5.764
204.617,-180.985,5.711,5.762
205.416,-181.586,5.698,5.763
206.216,-182.186,5.692,5.764
207.016,-182.787,5.690,5.763
207.815,-183.387,5.689,5.759
208.615,-183.988,5.688,5.755
209.414,-184.588,5.689,5.753
210.214,-185.189,5.692,5.748
211.013,-185.790,5.698,5.741
211.813,-186.390,5.705,5.734
212.612,-186.991,5.713,5.725
213.412,-187.592,5.722,5.719
214.211,-188.192,5.730,5.715
215.011,-188.793,5.739,5.712
215.810,-189.394,5.752,5.711
216.610,-189.994,5.764,5.709
217.409,-190.595,5.772,5.709
218.209,-191.195,5.776,5.711
219.009,-191.796,5.776,5.711
219.808,-192.397,5.776,5.710
220.608,-192.997,5.777,5.711
221.407,-193.598,5.778,5.715
222.206,-194.199,5.776,5.718
223.006,-194.800,5.770,5.721
223.805,-195.401,5.765,5.726
224.604,-196.002,5.763,5.735
225.403,-196.604,5.762,5.746
226.201,-197.206,5.758,5.759
226.999,-197.809,5.753,5.771
227.797,-198.412,5.751,5.784
228.594,-199.016,5.753,5.800
229.390,-199.621,5.752,5.818
230.185,-200.227,5.751,5.840
230.980,-200.834,5.744,5.865
231.773,-201.443,5.732,5.892
232.565,-202.053,5.725,5.917
233.356,-202.666,5.720,5.941
234.144,-203.280,5.709,5.966
234.931,-203.898,5.683,5.997
235.715,-204.518,5.656,6.031
236.497,-205.142,5.631,6.067
237.276,-205.770,5.600,6.107
238.051,-206.401,5.560,6.152
238.822,-207.038,5.509,6.203
239.589,-207.680,5.451,6.262
240.351,-208.328,5.392,6.331
241.107,-208.982,5.322,6.411
241.857,-209.643,5.239,6.501
242.601,-210.311,5.151,6.603
243.337,-210.988,5.062,6.711
244.065,-211.674,4.952,6.828
244.783,-212.370,4.829,6.953
245.491,-213.076,4.708,7.093
246.188,-213.793,4.572,7.250
246.873,-214.522,4.433,7.417
247.544,-215.263,4.293,7.595
248.200,-216.018,4.148,7.777
248.840,-216.786,3.986,7.960
249.463,-217.568,3.820,8.135
250.067,-218.366,3.661,8.305
250.649,-219.178,3.497,8.487
251.210,-220.007,3.338,8.656
251.746,-220.851,3.184,8.817
252.256,-221.711,3.031,8.974
252.739,-222.587,2.893,9.122
253.191,-223.478,2.769,9.261
253.613,-224.385,2.662,9.386
254.000,-225.307,2.569,9.492
254.353,-226.243,2.497,9.570
254.668,-227.192,2.432,9.612
254.945,-228.153,2.386,9.623
